Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Average_Price,Average_Mileage,Number_of_Cars,Standardized_Price
VW,Golf,1.6,Diesel,1998,108757,4390,10361.781497383605,113511.21642291694,14906,-0.5749369456476258
VW,Passat,1.8,Diesel,2005,98880,9954,10361.781497383605,113511.21642291694,14906,-0.23603334598307146
Toyota,Yaris,1.0,Hybrid,1997,132733,2933,14341.099418465705,111368.92232932367,12553,-0.6636829098300944
Toyota,Prius,1.8,Hybrid,2019,17705,48230,14341.099418465705,111368.92232932367,12553,2.095360288229811
Ford,Focus,2.0,Petrol,2000,123872,5667,10671.473455469377,112525.01002941963,14956,-0.49715479310060273
BMW,M5,5.0,Petrol,2013,46209,72978,24431.679089444,112858.0471394037,4964,3.602762567974309
Ford,Fiesta,1.4,Petrol,1994,140262,1925,10671.473455469377,112525.01002941963,14956,-0.7250802549885902
VW,Polo,1.4,Petrol,1991,251465,613,10361.781497383605,113511.21642291694,14906,-0.8049942597980609
Ford,Mondeo,1.4,Diesel,1995,166200,2509,10671.473455469377,112525.01002941963,14956,-0.689508777238033
Ford,Focus,2.0,Petrol,1998,109599,5530,10671.473455469377,112525.01002941963,14956,-0.5054994719564697
Porsche,911,2.2,Petrol,2020,6451,114333,29103.764660789573,111638.253737064,2609,6.121698291217954
Toyota,Yaris,1.0,Petrol,1990,254464,532,14341.099418465705,111368.92232932367,12553,-0.8099279750340115
Ford,Mondeo,1.6,Diesel,2001,121413,5745,10671.473455469377,112525.01002941963,14956,-0.4924038080585763
Ford,Focus,1.6,Petrol,2006,90493,9695,10671.473455469377,112525.01002941963,14956,-0.251809052725185
Ford,Mondeo,1.6,Diesel,2020,12500,41747,10671.473455469377,112525.01002941963,14956,1.7004803391598424
Toyota,Prius,1.0,Hybrid,2001,105591,6130,14341.099418465705,111368.92232932367,12553,-0.46895343317165084
BMW,M5,4.0,Petrol,2003,193788,10915,24431.679089444,112858.0471394037,4964,-0.1774987738627198
Ford,Fiesta,1.0,Petrol,2011,56641,9273,10671.473455469377,112525.01002941963,14956,-0.27751310000384094
Ford,Mondeo,1.8,Diesel,1987,235369,908,10671.473455469377,112525.01002941963,14956,-0.7870257907288583
Toyota,Yaris,1.0,Petrol,1997,165409,1872,14341.099418465705,111368.92232932367,12553,-0.7283084884145825
VW,Passat,1.8,Diesel,2010,83902,15459,10361.781497383605,113511.21642291694,14906,0.09927655986764225
Toyota,Prius,1.0,Hybrid,1991,169035,1899,14341.099418465705,111368.92232932367,12553,-0.7266639166692657
VW,Polo,1.2,Petrol,2013,71415,10814,10361.781497383605,113511.21642291694,14906,-0.18365069039149767
Toyota,Yaris,1.2,Hybrid,1989,227527,838,14341.099418465705,111368.92232932367,12553,-0.7912894952537538
BMW,Z4,2.0,Petrol,2014,39138,28558,24431.679089444,112858.0471394037,4964,0.897137496604881
Toyota,Yaris,1.0,Petrol,2001,146934,2847,14341.099418465705,111368.92232932367,12553,-0.6689211753892518
BMW,X3,3.0,Petrol,2001,135415,7852,24431.679089444,112858.0471394037,4964,-0.36406630185922045
VW,Golf,1.8,Hybrid,2002,19024,12474,10361.781497383605,113511.21642291694,14906,-0.08253998308683194
BMW,Z4,2.2,Petrol,2007,105271,12046,24431.679089444,112858.0471394037,4964,-0.10860949075333612
Ford,Mondeo,1.8,Diesel,1999,75726,7435,10671.473455469377,112525.01002941963,14956,-0.38946579881466964
Toyota,RAV4,1.8,Petrol,2013,58727,24817,14341.099418465705,111368.92232932367,12553,0.6692729447815349
Ford,Mondeo,1.8,Hybrid,2017,41888,35068,10671.473455469377,112525.01002941963,14956,1.2936620174201663
Toyota,RAV4,2.2,Petrol,1990,160790,2765,14341.099418465705,111368.92232932367,12553,-0.6739158006898437
VW,Passat,2.0,Diesel,2012,80368,19082,10361.781497383605,113511.21642291694,14906,0.31995372406330724
VW,Polo,2.0,Petrol,1994,185594,1617,10361.781497383605,113511.21642291694,14906,-0.7438405548981305
Toyota,Prius,1.8,Hybrid,2010,57379,20924,14341.099418465705,111368.92232932367,12553,0.4321500631327014
Ford,Fiesta,1.0,Petrol,2017,25551,16676,10671.473455469377,112525.01002941963,14956,0.17340410853618332
Toyota,Yaris,1.2,Hybrid,2005,79088,8152,14341.099418465705,111368.92232932367,12553,-0.345793282466811
Ford,Fiesta,1.4,Petrol,1993,272926,559,10671.473455469377,112525.01002941963,14956,-0.8082834032886946
Ford,Focus,1.4,Petrol,1998,109616,4626,10671.473455469377,112525.01002941963,14956,-0.5605621703922636
Porsche,Cayenne,3.0,Petrol,2009,93313,25112,29103.764660789573,111638.253737064,2609,0.6872414138507376
Porsche,718 Cayman,4.0,Petrol,2017,24148,65057,29103.764660789573,111638.253737064,2609,3.120293945950058
BMW,M5,5.0,Petrol,2006,92686,33576,24431.679089444,112858.0471394037,4964,1.20278420097525
VW,Golf,1.4,Petrol,2015,45425,18714,10361.781497383605,113511.21642291694,14906,0.29753882027528494
Toyota,Prius,1.4,Hybrid,2009,97634,13108,14341.099418465705,111368.92232932367,12553,-0.043923002104206604
Ford,Fiesta,1.2,Petrol,2009,80647,7578,10671.473455469377,112525.01002941963,14956,-0.3807556595709545
Toyota,Prius,1.4,Hybrid,1995,162167,3107,14341.099418465705,111368.92232932367,12553,-0.6530845585824969
Porsche,718 Cayman,2.0,Petrol,1996,97814,7046,29103.764660789573,111638.253737064,2609,-0.41315981396016055
Toyota,RAV4,1.8,Hybrid,2017,34513,45118,14341.099418465705,111368.92232932367,12553,1.9058081670658835
Porsche,718 Cayman,2.4,Petrol,1997,128795,6528,29103.764660789573,111638.253737064,2609,-0.44471122744438757
Toyota,RAV4,2.0,Hybrid,1996,143250,5451,14341.099418465705,111368.92232932367,12553,-0.5103113670631376
VW,Polo,2.0,Petrol,1996,199260,1640,10361.781497383605,113511.21642291694,14906,-0.7424396234113791
VW,Polo,2.0,Petrol,2012,63997,13719,10361.781497383605,113511.21642291694,14906,-0.006706952608332657
Toyota,Prius,1.4,Hybrid,2005,88128,10747,14341.099418465705,111368.92232932367,12553,-0.1877316647224691
Ford,Focus,1.8,Hybrid,2012,62627,22263,10671.473455469377,112525.01002941963,14956,0.5137086396874889
Toyota,Yaris,1.4,Hybrid,2006,102610,7960,14341.099418465705,111368.92232932367,12553,-0.35748801487795306
BMW,M5,4.0,Petrol,1990,212562,3886,24431.679089444,112858.0471394037,4964,-0.6056356182268736
Toyota,Yaris,1.0,Petrol,2016,30342,17578,14341.099418465705,111368.92232932367,12553,0.22834498684269444
Ford,Mondeo,1.8,Petrol,2010,87907,13549,10671.473455469377,112525.01002941963,14956,-0.017061663597364687
Toyota,Prius,1.0,Hybrid,1998,193375,2456,14341.099418465705,111368.92232932367,12553,-0.6927370106640254
VW,Polo,1.4,Petrol,1997,175859,1797,10361.781497383605,113511.21642291694,14906,-0.7328767432626849
VW,Polo,1.6,Petrol,2011,94605,9299,10361.781497383605,113511.21642291694,14906,-0.27592943832316547
Toyota,Yaris,1.0,Hybrid,2004,64355,7686,14341.099418465705,111368.92232932367,12553,-0.37417737258968703
Toyota,Yaris,1.4,Petrol,2017,43650,20550,14341.099418465705,111368.92232932367,12553,0.4093696989568309
Toyota,Prius,1.8,Hybrid,2006,69036,14852,14341.099418465705,111368.92232932367,12553,0.06230415063033376
VW,Polo,1.2,Petrol,2004,119890,4183,10361.781497383605,113511.21642291694,14906,-0.5875453290283883
Ford,Mondeo,1.6,Diesel,1996,219710,1798,10671.473455469377,112525.01002941963,14956,-0.7328158331980436
Ford,Mondeo,1.4,Diesel,2013,60895,18403,10671.473455469377,112525.01002941963,14956,0.2785957901718205
VW,Polo,1.6,Petrol,1994,91997,3050,10361.781497383605,113511.21642291694,14906,-0.6565564322670546
Toyota,Yaris,1.0,Hybrid,2017,30298,22553,14341.099418465705,111368.92232932367,12553,0.5313725584334847
Ford,Fiesta,1.0,Petrol,2004,125000,3576,10671.473455469377,112525.01002941963,14956,-0.6245177382656968
Toyota,Prius,1.0,Hybrid,1999,89749,6019,14341.099418465705,111368.92232932367,12553,-0.4757144503468423
Toyota,Yaris,1.0,Hybrid,2005,103832,6237,14341.099418465705,111368.92232932367,12553,-0.46243605625502476
Ford,Focus,1.6,Diesel,2020,8689,42985,10671.473455469377,112525.01002941963,14956,1.7758869991858521
Ford,Mondeo,1.4,Diesel,2021,12279,41792,10671.473455469377,112525.01002941963,14956,1.703221292068704
VW,Polo,1.6,Diesel,2017,41941,20658,10361.781497383605,113511.21642291694,14906,0.41594798593809834
Toyota,RAV4,2.2,Hybrid,2008,96033,18278,14341.099418465705,111368.92232932367,12553,0.2709820320916499
Toyota,RAV4,2.0,Hybrid,2010,81493,22074,14341.099418465705,111368.92232932367,12553,0.502196637470271
Toyota,Prius,1.4,Hybrid,1992,76270,4905,14341.099418465705,111368.92232932367,12553,-0.5435682623573228
Ford,Mondeo,2.0,Diesel,2005,55621,13348,10671.473455469377,112525.01002941963,14956,-0.02930458659027903
VW,Polo,1.6,Petrol,1991,236714,751,10361.781497383605,113511.21642291694,14906,-0.7965886708775526
VW,Passat,1.8,Diesel,2020,15002,46160,10361.781497383605,113511.21642291694,14906,1.9692764544221857
VW,Polo,1.4,Petrol,2014,95153,10582,10361.781497383605,113511.21642291694,14906,-0.1977818253882943
Toyota,Yaris,1.0,Hybrid,2011,46520,13727,14341.099418465705,111368.92232932367,12553,-0.006219672091201738
Porsche,718 Cayman,4.0,Petrol,2007,143175,14640,29103.764660789573,111638.253737064,2609,0.049391216926364404
VW,Golf,1.4,Hybrid,2019,22925,33441,10361.781497383605,113511.21642291694,14906,1.1945613422486656
Toyota,Yaris,1.0,Petrol,2001,160717,2542,14341.099418465705,111368.92232932367,12553,-0.6874987451048681
Ford,Focus,2.0,Diesel,2008,91159,12943,10671.473455469377,112525.01002941963,14956,-0.053973162770031814
VW,Polo,1.6,Petrol,2000,186967,2133,10361.781497383605,113511.21642291694,14906,-0.7124109615431863
BMW,Z4,3.0,Petrol,2015,43469,36426,24431.679089444,112858.0471394037,4964,1.3763778852031399
Ford,Focus,2.0,Petrol,2002,69745,9580,10671.473455469377,112525.01002941963,14956,-0.25881371015894195
VW,Polo,2.0,Petrol,2013,36905,17362,10361.781497383605,113511.21642291694,14906,0.21518841288015964
Ford,Focus,1.0,Petrol,2003,71124,7174,10671.473455469377,112525.01002941963,14956,-0.40536332568606587
Toyota,Prius,1.0,Hybrid,2019,24614,34601,14341.099418465705,111368.92232932367,12553,1.265217017232649
VW,Passat,1.8,Diesel,2015,42291,28302,10361.781497383605,113511.21642291694,14906,0.8815445200566915
BMW,Z4,2.2,Petrol,2019,17598,47266,24431.679089444,112858.0471394037,4964,2.036642985915535
Porsche,Cayenne,4.0,Petrol,2011,106225,30150,29103.764660789573,111638.253737064,2609,0.9941063195139338
BMW,Z4,2.4,Petrol,2013,59880,25728,24431.679089444,112858.0471394037,4964,0.7247620136698183
BMW,Z4,2.0,Petrol,1999,202794,3029,24431.679089444,112858.0471394037,4964,-0.6578355436245233
VW,Passat,1.6,Diesel,2005,141650,6756,10361.781497383605,113511.21642291694,14906,-0.43082373270615637
Toyota,Prius,1.0,Hybrid,1996,167660,2681,14341.099418465705,111368.92232932367,12553,-0.6790322461197184
VW,Golf,1.2,Diesel,1997,95040,3933,10361.781497383605,113511.21642291694,14906,-0.6027728451887294
Ford,Fiesta,1.0,Petrol,2015,66540,11353,10671.473455469377,112525.01002941963,14956,-0.150820165549802
Toyota,Prius,1.8,Hybrid,2002,122541,7731,14341.099418465705,111368.92232932367,12553,-0.37143641968082564
Toyota,Yaris,1.4,Hybrid,2018,48361,25609,14341.099418465705,111368.92232932367,12553,0.7175137159774959
Ford,Focus,1.6,Diesel,2005,127499,7221,10671.473455469377,112525.01002941963,14956,-0.4025005526479217
Toyota,RAV4,1.8,Hybrid,1996,267382,1732,14341.099418465705,111368.92232932367,12553,-0.7368358974643736
BMW,Z4,3.0,Petrol,2007,105226,14071,24431.679089444,112858.0471394037,4964,0.014733390145427785
Toyota,Prius,1.4,Hybrid,2015,46360,27595,14341.099418465705,111368.92232932367,12553,0.8384811043552466
Porsche,Cayenne,4.0,Diesel,2016,36411,70512,29103.764660789573,111638.253737064,2609,3.4525583485687035
Toyota,Prius,1.4,Hybrid,1994,275424,1054,14341.099418465705,111368.92232932367,12553,-0.778132921291219
Toyota,Prius,1.0,Hybrid,2014,42292,22365,14341.099418465705,111368.92232932367,12553,0.5199214662809082
BMW,X3,2.4,Petrol,1991,83610,5313,24431.679089444,112858.0471394037,4964,-0.518716955983646
BMW,Z4,2.0,Petrol,1988,218764,1261,24431.679089444,112858.0471394037,4964,-0.7655245379104565
Toyota,Yaris,1.2,Hybrid,2015,64016,17570,14341.099418465705,111368.92232932367,12553,0.22785770632556354
VW,Golf,1.4,Petrol,2001,104249,4939,10361.781497383605,113511.21642291694,14906,-0.5414973201595163
BMW,M5,4.4,Petrol,2002,157939,14538,24431.679089444,112858.0471394037,4964,0.04317839033294519
VW,Polo,2.0,Petrol,2005,97116,6843,10361.781497383605,113511.21642291694,14906,-0.42552455708235765
VW,Passat,2.0,Diesel,2006,136387,8422,10361.781497383605,113511.21642291694,14906,-0.3293475650136425
Toyota,Prius,1.0,Hybrid,1991,118082,2864,14341.099418465705,111368.92232932367,12553,-0.6678857042903485
Toyota,Prius,1.4,Hybrid,2020,13834,46426,14341.099418465705,111368.92232932367,12553,1.9854785316167889
Toyota,Yaris,1.4,Hybrid,1991,130735,2363,14341.099418465705,111368.92232932367,12553,-0.6984016466756724
Toyota,RAV4,2.4,Petrol,2020,31200,54058,14341.099418465705,111368.92232932367,12553,2.4503441449596854
Toyota,Yaris,1.2,Petrol,2015,72005,13885,14341.099418465705,111368.92232932367,12553,0.0034041181221339148
Ford,Focus,1.6,Petrol,1999,150707,3828,10671.473455469377,112525.01002941963,14956,-0.6091684019760728
VW,Passat,2.0,Petrol,1995,177237,2748,10361.781497383605,113511.21642291694,14906,-0.6749512717887469
Toyota,Prius,1.8,Hybrid,2001,172855,4804,14341.099418465705,111368.92232932367,12553,-0.5497201788861007
Ford,Mondeo,1.6,Diesel,1992,146845,2577,10671.473455469377,112525.01002941963,14956,-0.6853668928424202
BMW,Z4,3.0,Petrol,1993,169132,3327,24431.679089444,112858.0471394037,4964,-0.6396843443613965
Ford,Focus,1.6,Petrol,1992,157425,2271,10671.473455469377,112525.01002941963,14956,-0.7040053726226779
VW,Passat,1.4,Diesel,1991,171040,1949,10361.781497383605,113511.21642291694,14906,-0.7236184134371975
VW,Polo,1.0,Petrol,1996,144923,1838,10361.781497383605,113511.21642291694,14906,-0.730379430612389
Porsche,718 Cayman,2.0,Petrol,1986,119688,3071,29103.764660789573,111638.253737064,2609,-0.655277320909586
Ford,Mondeo,2.0,Diesel,2008,55291,16337,10671.473455469377,112525.01002941963,14956,0.15275559662276061
Toyota,Prius,1.4,Hybrid,1995,178122,2715,14341.099418465705,111368.92232932367,12553,-0.6769613039219119
VW,Passat,2.0,Diesel,2018,38182,37347,10361.781497383605,113511.21642291694,14906,1.432476054737837
Toyota,Prius,1.4,Hybrid,1993,164130,2675,14341.099418465705,111368.92232932367,12553,-0.6793977065075665
Toyota,Prius,1.0,Hybrid,2008,106502,9709,14341.099418465705,111368.92232932367,12553,-0.2509563118202059
Toyota,Yaris,1.2,Hybrid,2015,31581,21463,14341.099418465705,111368.92232932367,12553,0.46498058797439706
VW,Polo,2.0,Petrol,1993,322395,428,10361.781497383605,113511.21642291694,14906,-0.8162626217567134
VW,Passat,1.8,Diesel,1996,168385,3154,10361.781497383605,113511.21642291694,14906,-0.6502217855443527
VW,Golf,1.2,Diesel,2003,144303,4021,10361.781497383605,113511.21642291694,14906,-0.5974127595002894
VW,Passat,1.6,Petrol,2004,122001,7029,10361.781497383605,113511.21642291694,14906,-0.4141952850590638
VW,Passat,1.4,Diesel,1999,141582,4238,10361.781497383605,113511.21642291694,14906,-0.5841952754731132
VW,Golf,1.4,Petrol,2009,88482,9438,10361.781497383605,113511.21642291694,14906,-0.26746293933801574
Ford,Mondeo,1.8,Diesel,2002,117937,6690,10671.473455469377,112525.01002941963,14956,-0.4348437969724865
Toyota,Prius,1.4,Hybrid,1992,114153,3733,14341.099418465705,111368.92232932367,12553,-0.6149548581170025
Ford,Mondeo,2.0,Diesel,1990,261856,915,10671.473455469377,112525.01002941963,14956,-0.7865994202763688
Porsche,911,2.6,Petrol,2001,76585,22971,29103.764660789573,111638.253737064,2609,0.5568329654535753
Ford,Mondeo,1.8,Diesel,2000,178111,3589,10671.473455469377,112525.01002941963,14956,-0.6237259074253589
VW,Passat,1.4,Diesel,2014,42398,23335,10361.781497383605,113511.21642291694,14906,0.5790042289830322
VW,Polo,1.2,Petrol,2010,54195,9905,10361.781497383605,113511.21642291694,14906,-0.23901793915049835
Toyota,RAV4,1.8,Petrol,1991,236654,1374,14341.099418465705,111368.92232932367,12553,-0.7586417006059822
Toyota,Prius,1.4,Hybrid,2004,175149,5075,14341.099418465705,111368.92232932367,12553,-0.5332135513682907
VW,Passat,1.4,Petrol,2013,85569,15675,10361.781497383605,113511.21642291694,14906,0.11243313383017707
Toyota,Yaris,1.0,Hybrid,2019,11232,28629,14341.099418465705,111368.92232932367,12553,0.9014621111944179
BMW,M5,4.0,Petrol,2021,21293,128676,24431.679089444,112858.0471394037,4964,6.995331348369051
Toyota,Prius,1.8,Hybrid,2020,12731,52953,14341.099418465705,111368.92232932367,12553,2.3830385235309772
Porsche,911,2.2,Petrol,2019,7898,106161,29103.764660789573,111638.253737064,2609,5.62394124296872
Toyota,Yaris,1.0,Petrol,1997,205009,1329,14341.099418465705,111368.92232932367,12553,-0.7613826535148437
Ford,Mondeo,1.4,Diesel,2017,14975,31552,10671.473455469377,112525.01002941963,14956,1.0795022301411275
Ford,Fiesta,1.2,Petrol,1991,323393,280,10671.473455469377,112525.01002941963,14956,-0.8252773113236355
Ford,Fiesta,1.0,Petrol,2014,69478,10416,10671.473455469377,112525.01002941963,14956,-0.20789289611876088
Toyota,Prius,1.8,Hybrid,2012,42863,26170,14341.099418465705,111368.92232932367,12553,0.7516842622413016
Toyota,Prius,1.4,Hybrid,2020,18867,45179,14341.099418465705,111368.92232932367,12553,1.9095236810090068
Ford,Focus,2.0,Petrol,1990,245648,1022,10671.473455469377,112525.01002941963,14956,-0.7800820433597426
Toyota,Yaris,1.0,Petrol,2002,109686,4074,14341.099418465705,111368.92232932367,12553,-0.5941845260742971
BMW,M5,4.0,Petrol,2002,95139,22599,24431.679089444,112858.0471394037,4964,0.5341744214069876
Porsche,718 Cayman,2.0,Petrol,1998,96558,8125,29103.764660789573,111638.253737064,2609,-0.34743785421212786
BMW,M5,4.4,Petrol,2008,84936,38021,24431.679089444,112858.0471394037,4964,1.4735294383061168
Toyota,RAV4,1.8,Hybrid,2009,152764,11386,14341.099418465705,111368.92232932367,12553,-0.14881013341663696
VW,Golf,1.6,Petrol,1993,166096,1897,10361.781497383605,113511.21642291694,14906,-0.7267857367985484
VW,Golf,2.0,Hybrid,2017,49514,29906,10361.781497383605,113511.21642291694,14906,0.9792442637414408
VW,Passat,2.0,Diesel,2006,127937,9003,10361.781497383605,113511.21642291694,14906,-0.29395881745700947
BMW,Z4,2.0,Petrol,2021,11790,53124,24431.679089444,112858.0471394037,4964,2.3934541445846507
Ford,Mondeo,1.6,Diesel,2019,24956,36484,10671.473455469377,112525.01002941963,14956,1.379910668952339
VW,Polo,1.2,Petrol,2001,43629,5804,10361.781497383605,113511.21642291694,14906,-0.48881011424473575
VW,Golf,1.8,Petrol,2015,34399,22667,10361.781497383605,113511.21642291694,14906,0.5383163058026004
Ford,Mondeo,2.0,Diesel,2014,47300,25621,10671.473455469377,112525.01002941963,14956,0.7182446367531923
Toyota,RAV4,2.4,Hybrid,2001,149264,7937,14341.099418465705,111368.92232932367,12553,-0.3588889463647045
Ford,Focus,1.6,Petrol,2000,77263,7127,10671.473455469377,112525.01002941963,14956,-0.40822609872421
Ford,Mondeo,1.4,Diesel,1994,121264,3374,10671.473455469377,112525.01002941963,14956,-0.6368215713232525
Ford,Fiesta,1.4,Petrol,1996,231959,997,10671.473455469377,112525.01002941963,14956,-0.7816047949757768
Ford,Focus,1.6,Diesel,2011,40635,19719,10671.473455469377,112525.01002941963,14956,0.3587534352398567
Toyota,Yaris,1.2,Petrol,2011,74827,10434,14341.099418465705,111368.92232932367,12553,-0.2067965149552163
Ford,Fiesta,1.4,Petrol,2009,53998,9764,10671.473455469377,112525.01002941963,14956,-0.2476062582649308
Ford,Fiesta,1.4,Petrol,2012,65622,11065,10671.473455469377,112525.01002941963,14956,-0.16836226416651506
VW,Golf,1.6,Diesel,2011,107027,10579,10361.781497383605,113511.21642291694,14906,-0.1979645555822184
VW,Polo,1.2,Petrol,2003,156349,2924,10361.781497383605,113511.21642291694,14906,-0.6642311004118666
Porsche,Cayenne,2.6,Diesel,2000,140693,9388,29103.764660789573,111638.253737064,2609,-0.270508442570084
Porsche,718 Cayman,2.0,Petrol,2001,106983,9192,29103.764660789573,111638.253737064,2609,-0.28244681523979154
Toyota,RAV4,2.2,Hybrid,2007,135293,12687,14341.099418465705,111368.92232932367,12553,-0.06956613931822123
BMW,X3,3.0,Diesel,1999,72101,11505,24431.679089444,112858.0471394037,4964,-0.14156183572431452
Toyota,RAV4,2.2,Hybrid,1985,217129,1458,14341.099418465705,111368.92232932367,12553,-0.7535252551761076
Toyota,Prius,1.0,Hybrid,2007,45596,13746,14341.099418465705,111368.92232932367,12553,-0.005062380863015805
VW,Passat,1.6,Diesel,2004,20073,14570,10361.781497383605,113511.21642291694,14906,0.04512751240146887
Ford,Mondeo,1.8,Hybrid,2010,61679,19426,10671.473455469377,112525.01002941963,14956,0.34090678629993676
BMW,X3,2.4,Diesel,2018,33588,46529,24431.679089444,112858.0471394037,4964,1.9917522682748494
Ford,Mondeo,2.0,Diesel,1999,118897,5731,10671.473455469377,112525.01002941963,14956,-0.4932565489635554
BMW,X3,3.0,Diesel,2019,28565,57243,24431.679089444,112858.0471394037,4964,2.6443427008424325
Toyota,Prius,1.8,Hybrid,2004,85172,11640,14341.099418465705,111368.92232932367,12553,-0.13333897699773026
VW,Polo,1.2,Petrol,1999,93237,3654,10361.781497383605,113511.21642291694,14906,-0.6197667532236703
Ford,Fiesta,1.0,Diesel,2005,108708,4545,10671.473455469377,112525.01002941963,14956,-0.5654958856282142
VW,Golf,1.8,Diesel,2006,60570,11116,10361.781497383605,113511.21642291694,14906,-0.16525585086980546
Porsche,911,2.6,Petrol,2006,107318,25737,29103.764660789573,111638.253737064,2609,0.7253102042515905
Ford,Focus,1.6,Diesel,2008,44380,15783,10671.473455469377,112525.01002941963,14956,0.11901142081144447
VW,Golf,1.8,Hybrid,2015,45818,25402,10361.781497383605,113511.21642291694,14906,0.7049053325967334
BMW,Z4,2.2,Petrol,2020,30335,47048,24431.679089444,112858.0471394037,4964,2.0233645918237175
Ford,Focus,1.4,Diesel,2004,47201,11114,10671.473455469377,112525.01002941963,14956,-0.1653776709990882
Porsche,911,2.2,Petrol,1993,184395,5334,29103.764660789573,111638.253737064,2609,-0.5174378446261773
Toyota,Prius,1.4,Hybrid,1994,222069,1725,14341.099418465705,111368.92232932367,12553,-0.7372622679168631
Toyota,Yaris,1.4,Hybrid,1991,137190,2245,14341.099418465705,111368.92232932367,12553,-0.7055890343033534
Toyota,RAV4,1.8,Hybrid,2012,82581,23748,14341.099418465705,111368.92232932367,12553,0.6041600856799159
Ford,Mondeo,1.8,Diesel,1995,74130,5757,10671.473455469377,112525.01002941963,14956,-0.4916728872828799
VW,Golf,1.6,Diesel,2003,50588,9142,10361.781497383605,113511.21642291694,14906,-0.28549231847185974
Ford,Mondeo,1.6,Diesel,2021,9706,45288,10671.473455469377,112525.01002941963,14956,1.9161628780549156
Ford,Mondeo,1.4,Diesel,1991,292360,614,10671.473455469377,112525.01002941963,14956,-0.8049333497334196
BMW,M5,5.0,Petrol,1999,197459,9051,24431.679089444,112858.0471394037,4964,-0.29103513435422396
Ford,Focus,1.6,Diesel,1990,172178,1844,10671.473455469377,112525.01002941963,14956,-0.7300139702245407
Toyota,Prius,1.4,Hybrid,2007,20098,18863,14341.099418465705,111368.92232932367,12553,0.30661441990684835
Ford,Focus,1.8,Diesel,2018,30241,35453,10671.473455469377,112525.01002941963,14956,1.3171123923070918
BMW,Z4,2.4,Petrol,2010,113855,14409,24431.679089444,112858.0471394037,4964,0.035320991994209114
Ford,Focus,1.4,Petrol,2018,28934,30002,10671.473455469377,112525.01002941963,14956,0.9850916299470118
Toyota,Yaris,1.4,Hybrid,2003,114667,5955,14341.099418465705,111368.92232932367,12553,-0.47961269448388966
VW,Golf,1.4,Diesel,2001,191240,2561,10361.781497383605,113511.21642291694,14906,-0.6863414538766821
VW,Polo,1.0,Petrol,2001,181219,1894,10361.781497383605,113511.21642291694,14906,-0.7269684669924725
Toyota,Prius,1.4,Hybrid,2013,34611,25914,14341.099418465705,111368.92232932367,12553,0.7360912856931122
VW,Polo,1.6,Diesel,1985,268887,392,10361.781497383605,113511.21642291694,14906,-0.8184553840838026
VW,Passat,1.4,Diesel,2006,136762,7025,10361.781497383605,113511.21642291694,14906,-0.4144389253176292
Ford,Mondeo,1.6,Diesel,1996,35377,7416,10671.473455469377,112525.01002941963,14956,-0.39062309004285556
Toyota,Yaris,1.0,Petrol,1991,176321,1144,14341.099418465705,111368.92232932367,12553,-0.7726510154734961
VW,Polo,2.0,Petrol,2022,4789,37771,10361.781497383605,113511.21642291694,14906,1.4583019221457756
Toyota,Prius,1.4,Hybrid,1999,161760,4071,14341.099418465705,111368.92232932367,12553,-0.5943672562682211
Porsche,Cayenne,3.5,Petrol,1996,166569,6422,29103.764660789573,111638.253737064,2609,-0.45116769429637227
Ford,Fiesta,1.4,Petrol,1993,162550,1500,10671.473455469377,112525.01002941963,14956,-0.7509670324611702
VW,Golf,2.0,Diesel,1996,91846,4861,10361.781497383605,113511.21642291694,14906,-0.5462483052015429
Ford,Fiesta,1.0,Hybrid,2015,51736,14986,10671.473455469377,112525.01002941963,14956,0.07046609929227667
Ford,Mondeo,1.4,Petrol,1995,220367,1489,10671.473455469377,112525.01002941963,14956,-0.7516370431722252
VW,Polo,1.4,Petrol,1985,158361,935,10361.781497383605,113511.21642291694,14906,-0.7853812189835414
VW,Polo,2.0,Diesel,2009,96486,9424,10361.781497383605,113511.21642291694,14906,-0.26831568024299485
Ford,Mondeo,1.6,Diesel,2003,76365,9113,10671.473455469377,112525.01002941963,14956,-0.28725871034645933
Ford,Focus,1.8,Petrol,2017,40684,29707,10671.473455469377,112525.01002941963,14956,0.9671231608778093
VW,Polo,1.0,Petrol,1990,361535,169,10361.781497383605,113511.21642291694,14906,-0.8320383284988269
Ford,Fiesta,1.0,Petrol,1999,204012,1324,10671.473455469377,112525.01002941963,14956,-0.7616872038380504
Ford,Focus,1.0,Petrol,2008,114555,7336,10671.473455469377,112525.01002941963,14956,-0.3954958952141647
VW,Polo,1.4,Petrol,1994,121452,2292,10361.781497383605,113511.21642291694,14906,-0.7027262612652092
BMW,X3,2.4,Diesel,2016,35319,40311,24431.679089444,112858.0471394037,4964,1.6130134863348424
Ford,Mondeo,1.6,Diesel,2012,59890,18525,10671.473455469377,112525.01002941963,14956,0.286026818058067
Ford,Mondeo,2.0,Diesel,2003,46458,12370,10671.473455469377,112525.01002941963,14956,-0.0888746298095339
VW,Passat,1.4,Diesel,2000,202780,2698,10361.781497383605,113511.21642291694,14906,-0.6779967750208151
Toyota,Prius,1.4,Hybrid,2000,165870,4204,14341.099418465705,111368.92232932367,12553,-0.5862662176709196
Toyota,Yaris,1.4,Petrol,1989,186905,1081,14341.099418465705,111368.92232932367,12553,-0.7764883495459022
